target_nrmse,branch,compressor,achieved_nrmse,compression_ratio,chunk_size,config_note
1e-05,eta,zstd-trunc,7.567739787100504e-05,1.7939558029174805,1048576,"truncBits=12, level=5"
1e-05,phi,zstd-trunc,6.075559235819719e-05,1.7275378704071045,1048576,"truncBits=12, level=5"
1e-05,pt,sperr,5.811509142897055e-05,3.999404430389404,1048576,quality=8.0
1e-05,pt,sz3,2.5689955307446888e-05,3.640050411224365,1048576,relErrorBound=0.0e+00
1e-05,pt,zstd-trunc,8.164586673498117e-05,3.0218286514282227,1048576,"truncBits=16, level=5"
0.0001,eta,sperr,0.000509753953627,3.199618101119995,1048576,quality=10.0
0.0001,eta,sz3,0.0006000305232409,3.611629962921143,1048576,relErrorBound=0.0e+00
0.0001,eta,zstd-trunc,0.0006070788193503,2.2799391746521,1048576,"truncBits=15, level=5"
0.0001,phi,sperr,0.0006890114800793,3.379087448120117,1048576,quality=0.01
0.0001,phi,sz3,0.0009187672536428,3.7955784797668457,1048576,relErrorBound=0.0e+00
0.0001,phi,zstd-trunc,0.0009721048347342,2.3708815574646,1048576,"truncBits=16, level=5"
0.0001,pt,sperr,0.0009317518403331,7.997614860534668,1048576,quality=4.0
0.0001,pt,sz3,0.0003002822604514,6.37958288192749,1048576,relErrorBound=1.0e-03
0.0001,pt,zstd-trunc,0.00064299894782,4.682052135467529,262144,"truncBits=19, level=5"
0.001,eta,sperr,0.0044789241736975,4.701075553894043,1048576,quality=0.1
0.001,eta,sz3,0.0060242639585519,5.845199108123779,1048576,relErrorBound=0.0e+00
0.001,eta,zstd-trunc,0.009645334925102,3.422337532043457,1048576,"truncBits=19, level=5"
0.001,phi,sperr,0.006885981014806,5.120866775512695,1048576,quality=0.1
0.001,phi,sz3,0.0092544627292461,6.357749938964844,1048576,relErrorBound=0.0e+00
0.001,phi,zstd-trunc,0.0077234848246937,3.2330880165100098,1048576,"truncBits=19, level=5"
0.001,pt,sperr,0.0036625378252769,15.990455627441406,1048576,quality=2.0
0.001,pt,sz3,0.009853352417442,32.99177169799805,65536,relErrorBound=1.0e-01
0.001,pt,zstd-trunc,0.007790268890872,12.27513027191162,262144,"truncBits=23, level=5"
0.01,eta,sperr,0.0304958829187945,7.997614860534668,1048576,quality=4.0
0.01,eta,sz3,0.0599957254278854,13.8292818069458,1048576,relErrorBound=1.0e-01
0.01,eta,zstd-trunc,0.0855941363083466,5.901881694793701,262144,"truncBits=23, level=5"
0.01,phi,sperr,0.0301330711420772,7.997614860534668,1048576,quality=4.0
0.01,phi,sz3,0.0577335419593244,13.00045680999756,1048576,relErrorBound=1.0e-01
0.01,phi,zstd-trunc,0.0836848708992094,5.726232528686523,262144,"truncBits=23, level=5"
0.01,pt,sz3,0.0247481824156776,7607.64794921875,1048576,relErrorBound=1.0e+00
0.1,eta,sperr,0.1610288870412131,15.990455627441406,1048576,quality=2.0
0.1,eta,sz3,0.3315010892121456,9572.900390625,1048576,relErrorBound=1.0e+00
0.1,phi,sperr,0.1195263833426023,15.990455627441406,1048576,quality=2.0
0.1,phi,sz3,0.289168469868919,9572.900390625,1048576,relErrorBound=1.0e+00
