branch,compressor,metric,higher_is_better,compression_ratio,metric_value,chunk_size,config_note
eta,sperr,psnr,True,0.9978046417236328,217.3642578125,16384,quality=32.0
eta,sperr,psnr,True,0.9989011287689208,217.33094787597656,32768,quality=32.0
eta,sperr,psnr,True,0.9997225403785706,217.24139404296875,131072,quality=32.0
eta,sperr,psnr,True,0.9998612403869628,217.21212768554688,262144,quality=32.0
eta,sperr,psnr,True,0.9999289512634276,217.14535522460932,524288,quality=32.0
eta,sperr,psnr,True,0.9999627470970154,217.1339569091797,1048576,quality=32.0
eta,sperr,psnr,True,1.06541645526886,199.98342895507807,32768,quality=30.0
eta,sperr,psnr,True,1.0665087699890137,199.95790100097656,262144,quality=30.0
eta,sperr,psnr,True,1.0666242837905884,199.8967742919922,1048576,quality=30.0
eta,sperr,psnr,True,1.137142777442932,182.250732421875,8192,quality=28.0
eta,sperr,psnr,True,1.1399905681610107,182.24722290039065,16384,quality=28.0
eta,sperr,psnr,True,1.1414220333099363,182.2135009765625,32768,quality=28.0
eta,sperr,psnr,True,1.1421369314193726,182.20114135742188,65536,quality=28.0
eta,sperr,psnr,True,1.1424946784973145,182.200912475586,131072,quality=28.0
eta,sperr,psnr,True,1.1426758766174316,182.17819213867188,262144,quality=28.0
eta,sperr,psnr,True,1.1427642107009888,182.16928100585932,524288,quality=28.0
eta,sperr,psnr,True,1.142808437347412,182.1505584716797,1048576,quality=28.0
eta,sperr,psnr,True,1.227445363998413,162.88543701171875,16384,quality=26.0
eta,sperr,psnr,True,1.229104995727539,162.87594604492188,32768,quality=26.0
eta,sperr,psnr,True,1.2299339771270752,162.86614990234375,65536,quality=26.0
eta,sperr,psnr,True,1.230348825454712,162.85104370117188,131072,quality=26.0
eta,sperr,psnr,True,1.23055899143219,162.8249969482422,262144,quality=26.0
eta,sperr,psnr,True,1.2306615114212036,162.82135009765625,524288,quality=26.0
eta,sperr,psnr,True,1.2307127714157104,162.81089782714844,1048576,quality=26.0
eta,sperr,psnr,True,1.3294333219528198,149.89068603515625,16384,quality=24.0
eta,sperr,psnr,True,1.3313804864883425,149.889892578125,32768,quality=24.0
eta,sperr,psnr,True,1.3323532342910769,149.88600158691406,65536,quality=24.0
eta,sperr,psnr,True,1.332840085029602,149.88308715820312,131072,quality=24.0
eta,sperr,psnr,True,1.3332070112228394,149.87489318847656,524288,quality=24.0
eta,sperr,psnr,True,1.333267092704773,149.8628387451172,1048576,quality=24.0
eta,sperr,psnr,True,1.594387173652649,126.10747528076172,16384,quality=20.0
eta,sperr,psnr,True,1.5971885919570925,126.10123443603516,32768,quality=20.0
eta,sperr,psnr,True,1.5985887050628662,126.0927963256836,65536,quality=20.0
eta,sperr,psnr,True,1.5992896556854248,126.08912658691406,131072,quality=20.0
eta,sperr,psnr,True,1.599644660949707,126.07632446289062,262144,quality=20.0
eta,sperr,psnr,True,1.5998178720474243,126.07170104980467,524288,quality=20.0
eta,sperr,psnr,True,1.5999045372009275,126.0614776611328,1048576,quality=20.0
eta,sperr,psnr,True,1.9912378787994385,102.02398681640624,16384,quality=16.0
eta,sperr,psnr,True,1.9956092834472656,102.01715087890624,32768,quality=16.0
eta,sperr,psnr,True,1.9977954626083367,102.01309204101562,65536,quality=16.0
eta,sperr,psnr,True,1.998890399932861,102.00669860839844,131072,quality=16.0
eta,sperr,psnr,True,1.999445080757141,101.99855041503906,262144,quality=16.0
eta,sperr,psnr,True,1.9997156858444207,101.9936981201172,524288,quality=16.0
eta,sperr,psnr,True,1.999851107597351,101.97586822509766,1048576,quality=16.0
eta,sperr,psnr,True,2.6511118412017822,77.93852996826172,16384,quality=12.0
eta,sperr,psnr,True,2.6588664054870605,77.9345474243164,32768,quality=12.0
eta,sperr,psnr,True,2.662748575210572,77.92729949951172,65536,quality=12.0
eta,sperr,psnr,True,2.66469407081604,77.92127990722656,131072,quality=12.0
eta,sperr,psnr,True,2.665679931640625,77.91352844238281,262144,quality=12.0
eta,sperr,psnr,True,2.666161060333252,77.91015625,524288,quality=12.0
eta,sperr,psnr,True,2.666401624679565,77.90098571777344,1048576,quality=12.0
eta,sperr,psnr,True,3.0793979167938232,66.9419174194336,65536,quality=0.01
eta,sperr,psnr,True,3.0819883346557617,66.94184875488281,131072,quality=0.01
eta,sperr,psnr,True,3.0833635330200195,66.94123840332031,262144,quality=0.01
eta,sperr,psnr,True,3.0840189456939697,66.93954467773438,524288,quality=0.01
eta,sperr,psnr,True,3.084358692169189,66.93632507324219,1048576,quality=0.01
eta,sperr,psnr,True,3.177626848220825,65.90123748779297,16384,quality=10.0
eta,sperr,psnr,True,3.18877387046814,65.89651489257812,32768,quality=10.0
eta,sperr,psnr,True,3.194359540939331,65.88835144042969,65536,quality=10.0
eta,sperr,psnr,True,3.1971595287323,65.88399505615234,131072,quality=10.0
eta,sperr,psnr,True,3.1985788345336914,65.8758544921875,262144,quality=10.0
eta,sperr,psnr,True,3.199271440505981,65.86494445800781,524288,quality=10.0
