target_nrmse,branch,lep_branch,compressor,chunk_size,compressor_arg,achieved_nrmse,compression_ratio
1e-05,pt,lep_pt,sperr,1048576,"sperr:mode=bpp,quality=8.000000",5.811509142897055e-05,3.999404430389404
0.0001,eta,lep_eta,sperr,1048576,"sperr:mode=bpp,quality=10.000000",0.000509753953627,3.199618101119995
0.0001,phi,lep_phi,sperr,1048576,"sperr:mode=bpp,quality=0.010000",0.0006890114800793,3.379087448120117
0.0001,pt,lep_pt,sperr,1048576,"sperr:mode=bpp,quality=4.000000",0.0009317518403331,7.997614860534668
0.001,eta,lep_eta,sperr,1048576,"sperr:mode=bpp,quality=0.100000",0.0044789241736975,4.701075553894043
0.001,phi,lep_phi,sperr,1048576,"sperr:mode=bpp,quality=0.100000",0.006885981014806,5.120866775512695
0.001,pt,lep_pt,sperr,1048576,"sperr:mode=bpp,quality=2.000000",0.0036625378252769,15.990455627441406
0.01,eta,lep_eta,sperr,1048576,"sperr:mode=bpp,quality=4.000000",0.0304958829187945,7.997614860534668
0.01,phi,lep_phi,sperr,1048576,"sperr:mode=bpp,quality=4.000000",0.0301330711420772,7.997614860534668
0.1,eta,lep_eta,sperr,1048576,"sperr:mode=bpp,quality=2.000000",0.1610288870412131,15.990455627441406
0.1,phi,lep_phi,sperr,1048576,"sperr:mode=bpp,quality=2.000000",0.1195263833426023,15.990455627441406
1e-05,pt,lep_pt,sz3,1048576,"sz3:cmprAlgo=3,errorBoundMode=0,quantbinCnt=65536,blockSize=128,interpAlgo=1,interpDirection=0,interpAnchorStride=-1,absErrorBound=50.000000,relErrorBound=0.000000,psnrErrorBound=0.000000,l2normErrorBound=0.000000,interpAlpha=1.250000,interpBeta=2.000000,openmp=false,lorenzo=true,lorenzo2=false,regression=true,regression2=false",2.5689955307446888e-05,3.640050411224365
